,Date,Change,Price
143,12/11/86,-3.3%,0.8602275925340853
144,12/12/86,-1.1%,0.8507650890162104
145,12/15/86,1.0%,0.8592727399063725
146,12/16/86,2.2%,0.8781767401843128
147,12/17/86,-3.0%,0.8518314379787834
148,12/18/86,-1.0%,0.8433131235989955
149,12/19/86,3.5%,0.8728290829249602
150,12/22/86,-1.3%,0.8614823048469357
151,12/23/86,-3.0%,0.8356378357015276
152,12/24/86,0.7%,0.8414873005514382
153,12/26/86,0.1%,0.8423287878519895
154,12/29/86,-2.8%,0.8187435817921338
155,12/30/86,-5.2%,0.7761689155389428
156,12/31/86,-1.6%,0.7637502128903197
157,1/2/87,5.4%,0.804992724386397
158,1/5/87,6.9%,0.8605372223690584
159,1/6/87,0.7%,0.8665609829256417
160,1/7/87,2.9%,0.8916912514304852
161,1/8/87,2.2%,0.9113084589619559
162,1/9/87,1.7%,0.926800702764309
163,1/12/87,1.7%,0.9425563147113022
164,1/13/87,-0.5%,0.9378435331377457
165,1/14/87,3.1%,0.9669166826650157
166,1/15/87,3.2%,0.9978580165102963
167,1/16/87,0.9%,1.0068387386588888
168,1/19/87,3.4%,1.041071255773291
169,1/20/87,-0.4%,1.0369069707501979
170,1/21/87,-1.4%,1.022390273159695
171,1/22/87,6.8%,1.0919128117345542
172,1/23/87,-4.1%,1.0471443864534375
173,1/26/87,-0.7%,1.0398143757482634
174,1/27/87,4.6%,1.0876458370326836
175,1/28/87,1.7%,1.106135816262239
176,1/29/87,-1.2%,1.0928621864670922
177,1/30/87,-0.3%,1.0895835999076908
178,2/2/87,2.5%,1.116823189905383
179,2/3/87,-0.4%,1.1123558971457617
180,2/4/87,4.0%,1.1568501330315921
181,2/5/87,1.8%,1.1776734354261609
182,2/6/87,-1.2%,1.1635413542010469
183,2/9/87,-1.9%,1.141434068471227
184,2/10/87,-3.4%,1.1026253101432053
185,2/11/87,2.7%,1.1323961935170717
186,2/12/87,-2.1%,1.1086158734532132
187,2/13/87,4.4%,1.1573949718851546
188,2/17/87,6.0%,1.2268386701982639
189,2/18/87,0.0%,1.2268386701982639
190,2/19/87,0.1%,1.228065508868462
191,2/20/87,-0.1%,1.2268374433595934
192,2/23/87,-3.1%,1.188805482615446
193,2/24/87,0.5%,1.194749510028523
194,2/25/87,1.1%,1.2078917546388366
195,2/26/87,-1.1%,1.1946049453378094
196,2/27/87,1.1%,1.2077455997365252
197,3/2/87,-1.2%,1.193252652539687
198,3/3/87,1.2%,1.2075716843701632
199,3/4/87,4.7%,1.2643275535355607
200,3/5/87,1.9%,1.2883497770527363
201,3/6/87,0.1%,1.289638126829789
202,3/9/87,-2.5%,1.2573971736590441
203,3/10/87,2.6%,1.2900895001741792
204,3/11/87,-0.6%,1.2823489631731342
205,3/12/87,0.9%,1.2938901038416923
206,3/13/87,-1.4%,1.2757756423879085
207,3/16/87,-1.9%,1.2515359051825383
208,3/17/87,4.4%,1.30660348501057
209,3/18/87,0.3%,1.3105232954656016
210,3/19/87,1.4%,1.32887062160212
211,3/20/87,4.0%,1.3820254464662047
212,3/23/87,3.0%,1.4234862098601908
213,3/24/87,0.5%,1.4306036409094915
214,3/25/87,-1.1%,1.414867000859487
215,3/26/87,0.5%,1.4219413358637842
216,3/27/87,-4.8%,1.3536881517423225
217,3/30/87,-7.1%,1.2575762929686176
218,3/31/87,2.5%,1.2890157002928329
219,4/1/87,0.7%,1.2980388101948825
220,4/2/87,1.3%,1.314913314727416
221,4/3/87,6.8%,1.4043274201288802
222,4/6/87,1.6%,1.4267966588509424
223,4/7/87,-5.3%,1.3511764359318423
