,Date,Change,Price
0,5/20/86,-0.6,0.7061820201033085
1,5/21/86,3.0,0.7273674807064078
2,5/22/86,-0.6,0.7230032758221693
3,5/23/86,0.6,0.7273412954771022
4,5/27/86,1.3,0.7367967323183044
5,5/28/86,-3.9,0.7080616597578906
6,5/29/86,-0.6,0.7038132897993432
7,5/30/86,0.0,0.7038132897993432
8,6/2/86,-4.0,0.6756607582073695
9,6/3/86,0.6,0.6797147227566137
10,6/4/86,-0.7,0.6749567196973174
11,6/5/86,-1.0,0.6682071525003442
12,6/6/86,4.2,0.6962718529053588
13,6/9/86,-1.6,0.685131503258873
14,6/10/86,-1.3,0.6762247937165076
15,6/11/86,-0.3,0.6741961193353581
16,6/12/86,0.9,0.6802638844093762
17,6/13/86,1.5,0.6904678426755169
18,6/16/86,4.1,0.718777024225213
19,6/17/86,0.0,0.718777024225213
20,6/18/86,-0.9,0.712308031007186
21,6/19/86,-1.8,0.6994864864490566
22,6/20/86,1.5,0.7099787837457924
23,6/23/86,1.7,0.7220484230694708
24,6/24/86,1.1,0.7299909557232349
25,6/25/86,0.5,0.733640910501851
26,6/26/86,0.3,0.7358418332333565
27,6/27/86,1.1,0.7439360933989233
28,6/30/86,2.5,0.7625344957338963
29,7/1/86,0.0,0.7625344957338963
30,7/2/86,0.0,0.7625344957338963
31,7/3/86,2.0,0.7777851856485742
32,7/7/86,-0.4,0.7746740449059799
33,7/8/86,-3.0,0.7514338235588005
34,7/9/86,1.1,0.7596995956179472
35,7/10/86,1.1,0.7680562911697445
36,7/11/86,0.0,0.7680562911697445
37,7/14/86,0.2,0.769592403752084
38,7/15/86,0.3,0.7719011809633403
39,7/16/86,2.3,0.789654908125497
40,7/17/86,-2.4,0.7707031903304851
41,7/18/86,-0.3,0.7683910807594936
42,7/21/86,0.5,0.772233036163291
43,7/22/86,-1.8,0.7583328415123517
44,7/23/86,-3.0,0.7355828562669812
45,7/24/86,-1.5,0.7245491134229765
46,7/25/86,-0.6,0.7202018187424386
47,7/28/86,-2.2,0.704357378730105
48,7/29/86,-0.3,0.7022443065939147
49,7/30/86,1.2,0.7106712382730417
50,7/31/86,3.6,0.7362554028508712
51,8/1/86,0.0,0.7362554028508712
52,8/4/86,0.5,0.7399366798651255
53,8/5/86,-1.2,0.731057439706744
54,8/6/86,-1.2,0.7222847504302631
55,8/7/86,0.9,0.7287853131841354
56,8/8/86,3.8,0.7564791550851326
57,8/11/86,2.8,0.7776605714275163
58,8/12/86,-0.3,0.7753275897132338
59,8/13/86,1.7,0.7885081587383587
60,8/14/86,0.3,0.7908736832145736
61,8/15/86,0.3,0.7932463042642173
62,8/18/86,0.2,0.7948327968727457
63,8/19/86,1.7,0.8083449544195823
64,8/20/86,1.4,0.8196617837814565
65,8/21/86,0.0,0.8196617837814565
66,8/22/86,-0.6,0.8147438130787678
67,8/25/86,-1.3,0.8041521435087438
68,8/26/86,0.3,0.8065645999392699
69,8/27/86,-0.3,0.8041449061394521
70,8/28/86,1.7,0.8178153695438227
71,8/29/86,2.4,0.8374429384128745
72,9/2/86,-1.3,0.8265561802135072
73,9/3/86,-4.9,0.7860549273830453
74,9/4/86,0.0,0.7860549273830453
75,9/5/86,-3.0,0.7624732795615539
76,9/8/86,-1.3,0.7525611269272536
77,9/9/86,0.3,0.7548188103080353
78,9/10/86,0.0,0.7548188103080353
79,9/11/86,-3.3,0.7299097895678701
80,9/12/86,-1.8,0.7167714133556484
81,9/15/86,-0.1,0.7160546419422927
82,9/16/86,0.0,0.7160546419422927
83,9/17/86,1.8,0.728943625497254
84,9/18/86,-0.9,0.7223831328677787
85,9/19/86,-3.9,0.6942101906859353
86,9/22/86,2.9,0.7143422862158273
87,9/23/86,-1.2,0.7057701787812374
88,9/24/86,2.4,0.7227086630719871
89,9/25/86,0.6,0.727044915050419
90,9/26/86,0.0,0.727044915050419
91,9/29/86,-1.6,0.7154121964096123
92,9/30/86,3.6,0.7411670354803583
93,10/1/86,1.5,0.7522845410125636
94,10/2/86,-0.3,0.7500276873895259
95,10/3/86,2.0,0.7650282411373164
96,10/6/86,-0.1,0.764263212896179
97,10/7/86,0.0,0.764263212896179
98,10/8/86,-0.6,0.7596776336188019
99,10/9/86,-1.5,0.7482824691145199
100,10/10/86,-0.6,0.7437927742998328
101,10/13/86,-0.1,0.743048981525533
102,10/14/86,-2.1,0.7274449529134968
103,10/15/86,-0.3,0.7252626180547562
104,10/16/86,0.3,0.7274384059089204
105,10/17/86,-0.9,0.7208914602557401
106,10/20/86,-2.5,0.7028691737493467
107,10/21/86,2.1,0.7176294263980829
108,10/22/86,0.9,0.7240880912356655
109,10/23/86,1.5,0.7349494126042004
110,10/24/86,-0.3,0.7327445643663878
111,10/27/86,1.1,0.740804754574418
112,10/28/86,0.0,0.740804754574418
113,10/29/86,1.2,0.7496944116293109
114,10/30/86,2.0,0.7646882998618971
115,10/31/86,0.9,0.7715704945606541
116,11/3/86,2.0,0.7870019044518671
117,11/4/86,-0.6,0.7822798930251559
118,11/5/86,-0.3,0.7799330533460804
119,11/6/86,-0.9,0.7729136558659657
120,11/7/86,-1.8,0.7590012100603784
121,11/10/86,-1.3,0.7491341943295934
122,11/11/86,0.0,0.7491341943295934
123,11/12/86,0.9,0.7558764020785597
124,11/13/86,1.2,0.7649469189035024
125,11/14/86,0.9,0.7718314411736339
126,11/17/86,1.4,0.7826370813500648
127,11/18/86,0.5,0.786550266756815
128,11/19/86,1.7,0.7999216212916809
129,11/20/86,-0.3,0.7975218564278058
130,11/21/86,0.3,0.7999144219970892
131,11/24/86,0.5,0.8039139941070745
132,11/25/86,-0.6,0.799090510142432
133,11/26/86,-0.3,0.7966932386120047
134,11/28/86,1.8,0.8110337169070208
135,12/1/86,-0.7,0.8053564808886716
136,12/2/86,1.1,0.8142154021784469
137,12/3/86,2.0,0.8304997102220159
138,12/4/86,1.1,0.8396352070344579
139,12/5/86,-1.2,0.8295595845500444
140,12/8/86,-0.4,0.8262413462118442
141,12/9/86,-0.3,0.8237626221732086
