Date,Change,Price
5/20/86,-0.6,0.7061820201033085
5/21/86,3.0,0.7273674807064078
5/22/86,-0.6,0.7230032758221693
5/23/86,0.6,0.7273412954771022
5/27/86,1.3,0.7367967323183044
5/28/86,-3.9,0.7080616597578906
5/29/86,-0.6,0.7038132897993432
5/30/86,0.0,0.7038132897993432
6/2/86,-4.0,0.6756607582073695
6/3/86,0.6,0.6797147227566137
6/4/86,-0.7,0.6749567196973174
6/5/86,-1.0,0.6682071525003442
6/6/86,4.2,0.6962718529053588
6/9/86,-1.6,0.685131503258873
6/10/86,-1.3,0.6762247937165076
6/11/86,-0.3,0.6741961193353581
6/12/86,0.9,0.6802638844093762
6/13/86,1.5,0.6904678426755169
6/16/86,4.1,0.718777024225213
6/17/86,0.0,0.718777024225213
6/18/86,-0.9,0.712308031007186
6/19/86,-1.8,0.6994864864490566
6/20/86,1.5,0.7099787837457924
6/23/86,1.7,0.7220484230694708
6/24/86,1.1,0.7299909557232349
6/25/86,0.5,0.733640910501851
6/26/86,0.3,0.7358418332333565
6/27/86,1.1,0.7439360933989233
6/30/86,2.5,0.7625344957338963
7/1/86,0.0,0.7625344957338963
7/2/86,0.0,0.7625344957338963
7/3/86,2.0,0.7777851856485742
7/7/86,-0.4,0.7746740449059799
7/8/86,-3.0,0.7514338235588005
7/9/86,1.1,0.7596995956179472
7/10/86,1.1,0.7680562911697445
7/11/86,0.0,0.7680562911697445
7/14/86,0.2,0.769592403752084
7/15/86,0.3,0.7719011809633403
7/16/86,2.3,0.789654908125497
7/17/86,-2.4,0.7707031903304851
7/18/86,-0.3,0.7683910807594936
7/21/86,0.5,0.772233036163291
7/22/86,-1.8,0.7583328415123517
7/23/86,-3.0,0.7355828562669812
7/24/86,-1.5,0.7245491134229765
7/25/86,-0.6,0.7202018187424386
7/28/86,-2.2,0.704357378730105
7/29/86,-0.3,0.7022443065939147
7/30/86,1.2,0.7106712382730417
7/31/86,3.6,0.7362554028508712
8/1/86,0.0,0.7362554028508712
8/4/86,0.5,0.7399366798651255
8/5/86,-1.2,0.731057439706744
8/6/86,-1.2,0.7222847504302631
8/7/86,0.9,0.7287853131841354
8/8/86,3.8,0.7564791550851326
8/11/86,2.8,0.7776605714275163
8/12/86,-0.3,0.7753275897132338
8/13/86,1.7,0.7885081587383587
8/14/86,0.3,0.7908736832145736
8/15/86,0.3,0.7932463042642173
8/18/86,0.2,0.7948327968727457
8/19/86,1.7,0.8083449544195823
8/20/86,1.4,0.8196617837814565
8/21/86,0.0,0.8196617837814565
8/22/86,-0.6,0.8147438130787678
8/25/86,-1.3,0.8041521435087438
8/26/86,0.3,0.8065645999392699
8/27/86,-0.3,0.8041449061394521
8/28/86,1.7,0.8178153695438227
8/29/86,2.4,0.8374429384128745
9/2/86,-1.3,0.8265561802135072
9/3/86,-4.9,0.7860549273830453
9/4/86,0.0,0.7860549273830453
9/5/86,-3.0,0.7624732795615539
9/8/86,-1.3,0.7525611269272536
9/9/86,0.3,0.7548188103080353
9/10/86,0.0,0.7548188103080353
9/11/86,-3.3,0.7299097895678701
9/12/86,-1.8,0.7167714133556484
9/15/86,-0.1,0.7160546419422927
9/16/86,0.0,0.7160546419422927
9/17/86,1.8,0.728943625497254
9/18/86,-0.9,0.7223831328677787
9/19/86,-3.9,0.6942101906859353
9/22/86,2.9,0.7143422862158273
9/23/86,-1.2,0.7057701787812374
9/24/86,2.4,0.7227086630719871
9/25/86,0.6,0.727044915050419
9/26/86,0.0,0.727044915050419
9/29/86,-1.6,0.7154121964096123
9/30/86,3.6,0.7411670354803583
10/1/86,1.5,0.7522845410125636
10/2/86,-0.3,0.7500276873895259
10/3/86,2.0,0.7650282411373164
10/6/86,-0.1,0.764263212896179
10/7/86,0.0,0.764263212896179
10/8/86,-0.6,0.7596776336188019
10/9/86,-1.5,0.7482824691145199
10/10/86,-0.6,0.7437927742998328
10/13/86,-0.1,0.743048981525533
10/14/86,-2.1,0.7274449529134968
10/15/86,-0.3,0.7252626180547562
10/16/86,0.3,0.7274384059089204
10/17/86,-0.9,0.7208914602557401
10/20/86,-2.5,0.7028691737493467
10/21/86,2.1,0.7176294263980829
10/22/86,0.9,0.7240880912356655
10/23/86,1.5,0.7349494126042004
10/24/86,-0.3,0.7327445643663878
10/27/86,1.1,0.740804754574418
10/28/86,0.0,0.740804754574418
10/29/86,1.2,0.7496944116293109
10/30/86,2.0,0.7646882998618971
10/31/86,0.9,0.7715704945606541
11/3/86,2.0,0.7870019044518671
11/4/86,-0.6,0.7822798930251559
11/5/86,-0.3,0.7799330533460804
11/6/86,-0.9,0.7729136558659657
11/7/86,-1.8,0.7590012100603784
11/10/86,-1.3,0.7491341943295934
11/11/86,0.0,0.7491341943295934
11/12/86,0.9,0.7558764020785597
11/13/86,1.2,0.7649469189035024
11/14/86,0.9,0.7718314411736339
11/17/86,1.4,0.7826370813500648
11/18/86,0.5,0.786550266756815
11/19/86,1.7,0.7999216212916809
11/20/86,-0.3,0.7975218564278058
11/21/86,0.3,0.7999144219970892
11/24/86,0.5,0.8039139941070745
11/25/86,-0.6,0.799090510142432
11/26/86,-0.3,0.7966932386120047
11/28/86,1.8,0.8110337169070208
12/1/86,-0.7,0.8053564808886716
12/2/86,1.1,0.8142154021784469
12/3/86,2.0,0.8304997102220159
12/4/86,1.1,0.8396352070344579
12/5/86,-1.2,0.8295595845500444
12/8/86,-0.4,0.8262413462118442
12/9/86,-0.3,0.8237626221732086
12/10/86,0.5,0.8278814352840745
12/11/86,0.5,0.8320208424604948
