Date,Change,Price
5/20/86,3.7,0.9776836769703536
5/21/86,-0.7,0.970839891231561
5/22/86,5.9,1.028119444814223
5/23/86,1.4,1.0425131170416222
5/27/86,4.2,1.0862986679573703
5/28/86,2.3,1.1112835373203898
5/29/86,1.5,1.1279527903801956
5/30/86,-0.7,1.1200571208475345
6/2/86,-2.8,1.0886955214638032
6/3/86,0.6,1.095227694592586
6/4/86,-1.9,1.074418368395327
6/5/86,2.0,1.0959067357632335
6/6/86,0.1,1.0970026424989967
6/9/86,-6.9,1.021309460166566
6/10/86,-0.4,1.0172242223258998
6/11/86,1.9,1.036551482550092
6/12/86,0.4,1.0406976884802923
6/13/86,5.1,1.0937732705927872
6/16/86,0.3,1.0970545904045654
6/17/86,-2.2,1.072919389415665
6/18/86,0.7,1.0804298251415745
6/19/86,-1.2,1.0674646672398755
6/20/86,4.2,1.1122981832639505
6/23/86,-2.9,1.080041535949296
6/24/86,2.3,1.1048824912761297
6/25/86,2.3,1.1302947885754804
6/26/86,-0.3,1.126903904209754
6/27/86,1.1,1.1392998471560611
6/30/86,1.4,1.155250045016246
7/1/86,1.4,1.1714235456464734
7/2/86,0.8,1.1807949340116453
7/3/86,-1.1,1.1678061897375172
7/7/86,-9.3,1.059200214091928
7/8/86,-3.1,1.0263650074550783
7/9/86,1.6,1.0427868475743596
7/10/86,0.1,1.0438296344219338
7/11/86,-0.9,1.0344351677121364
7/14/86,-5.2,0.9806445389911052
7/15/86,-5.7,0.924747800268612
7/16/86,1.7,0.9404685128731785
7/17/86,1.4,0.9536350720534028
7/18/86,0.3,0.956495977269563
7/21/86,-0.2,0.954582985315024
7/22/86,2.4,0.9774929769625844
7/23/86,0.7,0.9843354278013224
7/24/86,-1.1,0.973507738095508
7/25/86,2.9,1.0017394625002776
7/28/86,-5.3,0.9486472709877628
7/29/86,-1.8,0.9315716201099832
7/30/86,2.7,0.9567240538529526
7/31/86,-0.6,0.9509837095298348
8/1/86,-1.6,0.9357679701773576
8/4/86,1.4,0.9488687217598404
8/5/86,1.4,0.9621528838644784
8/6/86,-0.3,0.9592664252128849
8/7/86,0.4,0.9631034909137364
8/8/86,-0.2,0.9611772839319088
8/11/86,4.8,1.0073137935606409
8/12/86,3.4,1.0415624625417024
8/13/86,2.8,1.07072621149287
8/14/86,0.6,1.0771505687618272
8/15/86,1.1,1.0889992250182072
8/18/86,0.3,1.0922662226932618
8/19/86,-1.0,1.081343560466329
8/20/86,3.9,1.123515959324516
8/21/86,-0.1,1.1223924433651913
8/22/86,0.5,1.128004405582017
8/25/86,-2.8,1.0964202822257203
8/26/86,6.0,1.162205499159264
8/27/86,0.6,1.1691787321542195
8/28/86,-0.6,1.162163659761294
8/29/86,0.1,1.1633258234210553
9/2/86,-5.3,1.1016695547797393
9/3/86,1.8,1.1214996067657743
9/4/86,4.6,1.1730885886770002
9/5/86,-4.0,1.12616504512992
9/8/86,-2.8,1.0946324238662823
9/9/86,-0.5,1.089159261746951
9/10/86,-0.8,1.0804459876529753
9/11/86,-14.4,0.9248617654309468
9/12/86,-5.7,0.8721446448013829
9/15/86,1.6,0.886098959118205
9/16/86,-0.2,0.8843267611999686
9/17/86,0.0,0.8843267611999686
9/18/86,0.7,0.8905170485283682
9/19/86,-0.2,0.8887360144313114
9/22/86,3.4,0.918953038921976
9/23/86,0.9,0.9272236162722738
9/24/86,1.0,0.9364958524349966
9/25/86,-5.7,0.8831155888462017
9/26/86,0.4,0.8866480512015865
9/29/86,-3.0,0.8600486096655389
